,player,span,playing_team,matches,innings,not_out,runs,strike_rate,average,balls_faced,highest_score,hundreds,fifties,ducks,fours,sixes
29,WP Saha (CSK/GT/KKR/KXIP/SRH),2008-2024,CSK/GT/KKR/KXIP/SRH,170,145,24.0,2934,127.56,24.24,2300,115*,1.0,13.0,7.0,296,87
30,BB McCullum (CSK/GL/KKR/Kochi/RCB),2008-2018,CSK/GL/KKR/Kochi/RCB,109,109,5.0,2880,131.74,27.69,2186,158*,2.0,13.0,6.0,293,130
31,N Rana (KKR/MI/RR),2016-2025,KKR/MI/RR,118,112,10.0,2853,136.76,27.97,2086,87,,20.0,7.0,261,141
32,PA Patel (CSK/DCH/Kochi/MI/RCB/SRH),2008-2019,CSK/DCH/Kochi/MI/RCB/SRH,139,137,11.0,2848,120.78,22.6,2358,81,,13.0,13.0,365,49
33,GJ Maxwell (DC/KXIP/MI/PBKS/RCB),2012-2025,DC/KXIP/MI/PBKS/RCB,141,135,17.0,2819,155.14,23.88,1817,95,,18.0,19.0,237,161
34,MA Agarwal (DC/KXIP/PBKS/RCB/RPS/SRH),2011-2025,DC/KXIP/PBKS/RCB/RPS/SRH,131,125,5.0,2756,133.52,22.96,2064,106,1.0,13.0,7.0,273,100
35,Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,DC/KXIP/MI/PWI/RCB/SRH,132,126,15.0,2750,129.71,24.77,2120,83,,13.0,4.0,217,149
36,HH Pandya (GT/MI),2015-2025,GT/MI,152,140,43.0,2749,146.92,28.34,1871,91,,10.0,6.0,207,148
37,V Sehwag (DC/KXIP),2008-2015,DC/KXIP,104,104,5.0,2728,155.44,27.55,1755,122,2.0,16.0,7.0,334,106
38,AD Russell (DC/KKR),2012-2025,DC/KKR,140,115,21.0,2651,174.17,28.2,1522,88*,,12.0,6.0,186,223
39,M Vijay (CSK/DC/KXIP),2009-2020,CSK/DC/KXIP,106,106,5.0,2619,121.87,25.93,2149,127,2.0,13.0,5.0,247,91
40,RD Gaikwad (CSK),2020-2025,CSK,71,70,8.0,2502,137.47,40.35,1820,108*,2.0,20.0,7.0,231,95
41,SPD Smith (DC/PWI/RPS/RR),2012-2021,DC/PWI/RPS/RR,103,93,21.0,2485,128.09,34.51,1940,101,1.0,11.0,1.0,225,60
42,SE Marsh (KXIP),2008-2017,KXIP,71,69,7.0,2477,132.74,39.95,1866,115,1.0,20.0,1.0,266,78
43,JH Kallis (KKR/RCB),2008-2014,KKR/RCB,98,96,11.0,2427,109.22,28.55,2222,89*,,17.0,9.0,255,44
44,DR Smith (CSK/DCH/GL/MI),2008-2017,CSK/DCH/GL/MI,91,89,5.0,2385,135.2,28.39,1764,87*,,17.0,8.0,245,117
45,SR Tendulkar (MI),2008-2013,MI,78,78,11.0,2334,119.81,34.83,1948,100*,1.0,13.0,4.0,295,29
46,N Pooran (KXIP/LSG/PBKS/SRH),2019-2025,KXIP/LSG/PBKS/SRH,90,87,20.0,2293,168.97,34.22,1357,87*,,14.0,9.0,157,167
47,RA Tripathi (CSK/KKR/RPS/RR/SRH),2017-2025,CSK/KKR/RPS/RR/SRH,100,98,11.0,2291,137.84,26.33,1662,93,,12.0,4.0,229,85
48,R Dravid (RCB/RR),2008-2013,RCB/RR,89,82,5.0,2174,115.51,28.23,1882,75*,,11.0,3.0,268,28
49,YBK Jaiswal (RR),2020-2025,RR,67,66,3.0,2166,152.85,34.38,1417,124,2.0,15.0,4.0,258,92
50,KS Williamson (GT/SRH),2015-2024,GT/SRH,79,77,17.0,2128,125.61,35.46,1694,89,,18.0,2.0,185,64
51,AJ Finch (DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH),2010-2022,DC/GL/KKR/KXIP/MI/PWI/RCB/RR/SRH,92,90,7.0,2091,128.2,25.19,1631,88*,,15.0,8.0,214,78
52,AC Gilchrist (DCH/KXIP),2008-2013,DCH/KXIP,80,80,4.0,2069,138.39,27.22,1495,109*,2.0,11.0,7.0,239,92
53,JP Duminy (DC/DCH/MI),2009-2018,DC/DCH/MI,83,77,26.0,2029,124.02,39.78,1636,78*,,14.0,1.0,126,79
54,MP Stoinis (DC/KXIP/LSG/PBKS/RCB),2016-2025,DC/KXIP/LSG/PBKS/RCB,109,99,27.0,2026,144.71,28.13,1400,124*,1.0,9.0,9.0,158,106
55,MEK Hussey (CSK/MI),2008-2015,CSK/MI,59,58,7.0,1977,122.64,38.76,1612,116*,1.0,15.0,1.0,198,52
56,AR Patel (DC/KXIP),2014-2025,DC/KXIP,162,124,37.0,1916,133.98,22.02,1430,66,,3.0,7.0,130,94
57,PP Shaw (DC),2018-2024,DC,79,79,,1892,147.46,23.94,1283,99,,14.0,7.0,238,61
58,S Dube (CSK/RCB/RR),2019-2025,CSK/RCB/RR,79,75,14.0,1859,143.66,30.47,1294,95*,,10.0,3.0,108,122
59,Abhishek Sharma (DC/SRH),2018-2025,DC/SRH,77,74,7.0,1816,163.01,27.1,1114,141,1.0,9.0,3.0,174,101
60,D Padikkal (LSG/RCB/RR),2020-2025,LSG/RCB/RR,74,74,3.0,1806,126.29,25.43,1430,101*,1.0,,6.0,190,56
61,DPMD Jayawardene (DC/Kochi/KXIP),2008-2013,DC/Kochi/KXIP,80,78,15.0,1802,123.25,28.6,1462,110*,1.0,10.0,2.0,200,39
62,B Sai Sudharsan (GT),2022-2025,GT,40,40,4.0,1793,145.89,49.8,1229,108*,2.0,12.0,,183,52
63,SP Narine (KKR),2012-2025,KKR,189,122,21.0,1780,166.51,17.62,1069,109,1.0,7.0,17.0,189,116
64,KH Pandya (LSG/MI/RCB),2016-2025,LSG/MI/RCB,142,118,39.0,1756,132.42,22.22,1326,86,,2.0,7.0,153,65
65,Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,DC/KKR/KXIP/PBKS/RCB,111,98,16.0,1706,122.91,20.8,1388,77*,,6.0,15.0,176,38
66,MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,DC/KKR/KXIP/RPS,98,85,26.0,1695,116.97,28.72,1449,75*,,7.0,8.0,156,40
67,KK Nair (DC/KXIP/RCB/RR),2013-2025,DC/KXIP/RCB/RR,84,76,5.0,1694,131.72,23.85,1286,89,,11.0,5.0,185,49
68,KC Sangakkara (DCH/KXIP/SRH),2008-2013,DCH/KXIP/SRH,71,68,3.0,1687,121.19,25.95,1392,94,,10.0,4.0,195,27
69,JM Bairstow (MI/PBKS/SRH),2019-2025,MI/PBKS/SRH,52,52,4.0,1674,146.07,34.87,1146,114,2.0,9.0,3.0,173,74
70,R Parag (RR),2019-2025,RR,84,72,12.0,1566,141.84,26.1,1104,95,,7.0,3.0,111,87
71,DJ Bravo (CSK/GL/MI),2008-2022,CSK/GL/MI,161,113,44.0,1560,129.56,22.6,1204,70*,,5.0,5.0,120,66
72,NV Ojha (DC/RR/SRH),2009-2018,DC/RR/SRH,113,94,19.0,1554,118.35,20.72,1313,94*,,6.0,8.0,121,79
73,NT Tilak Varma (MI),2022-2025,MI,54,51,11.0,1499,144.41,37.47,1038,84*,,8.0,1.0,113,74
74,DJ Hooda (CSK/KXIP/LSG/PBKS/RR/SRH),2015-2025,CSK/KXIP/LSG/PBKS/RR/SRH,125,101,16.0,1496,127.64,17.6,1172,64,,8.0,5.0,98,62
75,SS Tiwary (DC/MI/RCB/RPS),2008-2021,DC/MI/RCB/RPS,93,74,22.0,1494,120.09,28.73,1244,61,,8.0,1.0,111,50
76,SO Hetmyer (DC/RCB/RR),2019-2025,DC/RCB/RR,86,79,28.0,1482,151.84,29.05,976,75,,5.0,3.0,93,93
77,H Klaasen (RCB/RR/SRH),2018-2025,RCB/RR/SRH,49,45,8.0,1480,169.72,40.0,872,105*,2.0,7.0,1.0,98,89
78,VR Iyer (KKR),2021-2025,KKR,62,56,7.0,1468,137.32,29.95,1069,104,1.0,12.0,2.0,136,65
79,S Badrinath (CSK),2008-2013,CSK,95,67,20.0,1441,118.89,30.65,1212,71*,,11.0,6.0,154,28
80,AK Markram (LSG/PBKS/SRH),2021-2025,LSG/PBKS/SRH,57,55,9.0,1440,135.08,31.3,1066,68*,,10.0,2.0,111,57
81,EJG Morgan (KKR/KXIP/RCB/SRH),2010-2021,KKR/KXIP/RCB/SRH,83,75,13.0,1405,122.6,22.66,1146,68*,,5.0,6.0,112,64
82,BJ Hodge (KKR/Kochi/RR),2008-2014,KKR/Kochi/RR,66,63,21.0,1400,125.22,33.33,1118,73,,6.0,3.0,122,43
83,SC Ganguly (KKR/PWI),2008-2012,KKR/PWI,59,56,3.0,1349,106.8,25.45,1263,91,,7.0,4.0,137,42
84,CA Lynn (DCH/KKR/MI),2012-2021,DCH/KKR/MI,42,42,3.0,1329,140.63,34.07,945,93*,,10.0,3.0,132,66
